Data Series China,Population2,GDP of China,graduates from universities,65,14
1960,667070000,89,13.7,24604942,265641893
1961,660330000,75,15.1,24506581,263302831
1962,665770000,70,17.8,24462536,268188604
1963,682335000,74,20.1,24558486,278443818
1964,698355000,85,20.5,24528808,287297670
1965,715185000,98,18.8,24486185,294501997
1966,735400000,104,14.2,25674798,304216738
1967,754550000,96,12.6,26904327,310976161
1968,774510000,91,15.1,28182576,316601067
1969,796025000,100,15.1,29454226,323033758
1970,818315000,113,10.3,30670664,330658357
1971,841105000,118,0.6,32098200,340015460
1972,862030000,131,1.7,33453776,348297760
1973,881940000,157,3,34782914,355789052
1974,900350000,160,4.3,36108504,361683794
1975,916395000,178,11.9,37429714,365103747
1976,930685000,165,14.9,39059632,365617362
1977,943455000,185,19.4,40679629,364299712
1978,956165000,156,16.5,42360214,361610403
1979,969005000,183,8.5,44104813,357715831
1980,981235000,194,14.7,45866191,352611901
1981,993885000,197,15.2,47957992,345762315
1982,1008630000,203,46.1,50089615,339804660
1983,1023310000,225,33.9,52150310,333897749
1984,1036825000,250,29,54037922,327940857
1985,1051040000,294,33.3,55809578,323050142
1986,1066790000,281,41,57513608,321493844
1987,1084035000,251,56,59097827,321547481
1988,1101630000,283,59.4,60605526,322714350
1989,1118650000,310,61.3,62163844,323955099
1990,1135185000,317,64.9,63912757,324546177
1991,1150780000,333,64.7,65520712,328581656
1992,1164970000,366,63,67420802,328596758
1993,1178440000,377,59.9,69533392,326580984
1994,1191835000,473,66.5,71694024,325280651
1995,1204855000,609,83.7,73788987,325698399
1996,1217550000,709,87.9,76621226,320435561
1997,1230075000,781,87.6,79101030,319849182
1998,1241935000,828,87.7,81359560,320906193
1999,1252735000,873,90.3,83624513,319203340
2000,1262645000,959,100.9,86009518,312993544
2001,1271850000,1053,110.4,88263699,307972185
2002,1280400000,1148,141.8,90680607,298071840
2003,1288400000,1288,198.8,93162743,285390312
2004,1296075000,1508,254.2,95478238,273788404
2005,1303720000,1753,325.8,97550467,265351992
2006,1311020000,2099,403.1,99711068,258543763
2007,1317885000,2693,479,101646383,254375415
2008,1324655000,3468,546.4,103531377,252408571
2009,1331260000,3832,568.2,105598689,251102769
2010,1337705000,4550,613.8,108012365,249615182
2011,1345035000,5614,651.2,111088511,248963911
2012,1354190000,6300,673.3,114473856,248760149
2013,1363240000,7020,690.1,118315346,248656195
2014,1371860000,7636,713,123006419,248778057
2015,1379860000,8016,736.1,128766192,249117662
2016,1387790000,8094,760.6,136039935,249727483
2017,1396215000,8816,793.6,144440124,250444126
2018,1402760000,9905,813.7,153193786,250771444
2019,1407745000,10143,822.5,161499224,250642076
2020,1411100000,10434,870.1,168884275,249931427
2021,1412360000,12551.5,903.8,175318996,248510399
